City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Hermanus,ZA,2020-08-19 18:12:55,-34.42,19.23,48.0,86,84,11.9
62,Guarda,PT,2020-08-19 18:08:40,40.54,-7.27,80.01,48,0,8.01
63,Adrar,MR,2020-08-19 18:12:55,20.5,-10.07,103.12,17,1,14.83
64,Kanniyakumari,IN,2020-08-19 18:12:57,8.08,77.57,79.63,82,100,18.95
65,Busselton,AU,2020-08-19 18:12:58,-33.65,115.33,44.01,77,96,2.04
66,Mayumba,GA,2020-08-19 18:12:58,-3.43,10.66,73.11,89,85,9.75
67,Birao,CF,2020-08-19 18:12:58,10.28,22.79,70.93,93,100,4.47
68,Gubkinskiy,RU,2020-08-19 18:12:58,64.43,76.5,57.04,89,85,7.49
69,Kruisfontein,ZA,2020-08-19 18:12:59,-34.0,24.73,48.0,84,2,1.01
70,Mar Del Plata,AR,2020-08-19 18:12:59,-38.0,-57.56,46.99,49,75,17.22
71,Suleja,NG,2020-08-19 18:12:59,9.18,7.18,86.0,70,20,9.17
72,Tabas,IR,2020-08-19 18:12:59,33.6,56.92,98.6,13,0,6.93
73,Praia,CV,2020-08-19 18:13:00,14.92,-23.51,86.0,62,20,23.04
74,Carnarvon,AU,2020-08-19 18:13:00,-24.87,113.63,62.6,55,96,9.17
75,Narsaq,GL,2020-08-19 18:13:01,60.92,-46.05,59.0,54,75,9.17
76,Bonavista,CA,2020-08-19 18:13:01,48.65,-53.11,64.99,85,100,8.99
77,Lagoa,PT,2020-08-19 18:13:02,39.05,-27.98,68.29,64,45,13.8
78,Ikom,NG,2020-08-19 18:13:02,5.97,8.71,75.52,94,73,2.06
79,Ilhabela,BR,2020-08-19 18:09:07,-23.78,-45.36,73.85,80,9,10.27
80,Bredasdorp,ZA,2020-08-19 18:13:02,-34.53,20.04,50.0,76,81,4.7
81,Talnakh,RU,2020-08-19 18:13:02,69.49,88.4,55.4,54,0,11.18
82,Klaksvik,FO,2020-08-19 18:13:03,62.23,-6.59,55.4,71,100,9.17
83,Tikhvin,RU,2020-08-19 18:13:03,59.65,33.53,55.99,69,7,5.01
84,Coihaique,CL,2020-08-19 18:08:14,-45.58,-72.07,44.6,52,49,4.7
85,Camacha,PT,2020-08-19 18:13:03,33.08,-16.33,77.0,69,20,11.41
86,Dikson,RU,2020-08-19 18:13:04,73.51,80.55,51.71,69,64,11.21
87,Uddevalla,SE,2020-08-19 18:13:04,58.35,11.94,71.01,68,100,4.7
88,Ribeira Grande,PT,2020-08-19 18:13:04,38.52,-28.7,73.4,56,40,11.41
89,Veisiejai,LT,2020-08-19 18:13:04,54.1,23.7,65.34,92,83,3.38
90,Bambous Virieux,MU,2020-08-19 18:13:05,-20.34,57.76,72.0,68,75,14.99
91,Oranjemund,NA,2020-08-19 18:13:05,-28.55,16.43,57.13,55,0,18.84
92,Oshnaviyeh,IR,2020-08-19 18:13:05,37.04,45.1,68.0,77,0,9.17
93,Bayji,IQ,2020-08-19 18:13:06,34.93,43.49,90.0,15,0,7.87
94,San Cristobal,VE,2020-08-19 18:13:06,7.77,-72.22,87.8,55,40,4.7
95,Pangody,RU,2020-08-19 18:13:06,65.85,74.49,60.71,77,100,10.6
96,Jacqueville,CI,2020-08-19 18:13:06,5.21,-4.41,78.8,88,20,8.05
97,Mahajanga,MG,2020-08-19 18:13:07,-15.72,46.32,75.2,57,17,5.82
98,Potosi,BO,2020-08-19 18:13:07,-19.58,-65.75,54.55,31,46,27.45
99,Caravelas,BR,2020-08-19 18:13:07,-17.71,-39.25,77.29,74,69,10.98
100,Onega,RU,2020-08-19 18:13:07,63.91,38.14,50.29,65,21,4.5
101,Shelburne,CA,2020-08-19 18:13:08,44.08,-80.2,70.0,52,20,13.87
102,Sur,OM,2020-08-19 18:13:08,22.57,59.53,86.7,62,54,10.67
103,Urussanga,BR,2020-08-19 18:13:08,-28.52,-49.32,61.81,86,100,5.68
104,Campos Novos,BR,2020-08-19 18:13:08,-27.4,-51.23,59.32,87,100,3.44
105,Arraial Do Cabo,BR,2020-08-19 18:13:08,-22.97,-42.03,82.4,74,5,11.41
106,Saint Anthony,US,2020-08-19 18:13:09,45.02,-93.22,81.0,50,1,10.29
107,Viedma,AR,2020-08-19 18:12:53,-40.81,-63.0,44.01,82,85,5.01
108,Mednogorsk,RU,2020-08-19 18:13:09,51.41,57.59,49.37,66,26,4.32
109,Puerto Cabezas,NI,2020-08-19 18:13:09,14.04,-83.39,89.6,70,40,9.17
110,Point Pedro,LK,2020-08-19 18:13:10,9.82,80.23,80.29,84,100,15.14
111,Karasjok,NO,2020-08-19 18:13:10,69.47,25.51,62.6,63,72,20.8
112,Mahebourg,MU,2020-08-19 18:13:10,-20.41,57.7,71.6,68,75,14.99
113,Tandil,AR,2020-08-19 18:10:17,-37.32,-59.13,52.0,39,23,13.0
114,Port Alfred,ZA,2020-08-19 18:13:10,-33.59,26.89,53.15,77,45,11.97
115,Lebu,CL,2020-08-19 18:13:11,-37.62,-73.65,49.05,65,0,20.4
116,Linares,CL,2020-08-19 18:13:12,-35.85,-71.6,54.68,65,0,8.37
117,Cururupu,BR,2020-08-19 18:13:12,-1.83,-44.87,87.04,55,90,8.43
118,Saint George,US,2020-08-19 18:08:37,37.1,-113.58,99.0,20,1,5.82
119,Mtimbira,TZ,2020-08-19 18:13:12,-8.78,36.35,77.11,46,10,3.38
120,Aketi,CD,2020-08-19 18:13:13,2.74,23.78,73.31,87,100,1.97
121,Leua,SK,2020-08-19 18:12:11,48.22,18.61,72.0,77,34,3.0
122,Iqaluit,CA,2020-08-19 18:08:24,63.75,-68.51,42.8,93,90,5.82
123,Dhidhdhoo,MV,2020-08-19 18:13:14,6.88,73.1,82.51,72,100,9.86
124,Tambacounda,SN,2020-08-19 18:13:14,13.75,-13.76,84.2,70,40,2.24
125,Norden,DE,2020-08-19 18:13:14,53.6,7.2,77.0,47,40,6.93
126,Toledo,ES,2020-08-19 18:12:51,39.83,-4.0,90.0,18,0,12.66
127,Vila Velha,BR,2020-08-19 18:13:14,-20.33,-40.29,82.0,74,40,20.8
128,Laguna,US,2020-08-19 18:11:36,38.42,-121.42,93.99,24,20,3.36
129,Sao Joao Da Barra,BR,2020-08-19 18:13:15,-21.64,-41.05,86.0,51,0,16.11
130,Dmitriyevskaya,RU,2020-08-19 18:13:15,45.66,40.77,75.29,34,12,5.01
