City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Fureidis,IL,80.01,clear sky,32.6,34.96,Elma Arts Complex Luxury Hotel -אלמא מלון ומרכז אמנויות
195,Sinnamary,GF,83.48,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
200,San Rafael Del Sur,NI,84.2,scattered clouds,11.85,-86.44,Hospedaje El Chino
202,Cotonou,BJ,75.7,overcast clouds,6.37,2.42,Novotel Cotonou Orisha
203,Olinda,BR,75.2,moderate rain,-8.01,-34.86,Hotel 5 Sóis
204,Xuddur,SO,75.2,overcast clouds,4.12,43.89,Banjanay Hotel
207,San Francisco,US,75.99,smoke,37.77,-122.42,The Clift Royal Sonesta Hotel
211,Tukrah,LY,79.32,clear sky,32.53,20.58,استراحة لاقروتا
218,Isla Mujeres,MX,86.0,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
221,Hambantota,LK,79.56,light rain,6.12,81.12,Bungalow 63
223,Miraflores,MX,75.0,few clouds,19.22,-98.81,Hotel Mansión
225,Dingle,PH,77.04,overcast clouds,11.0,122.67,Camp Pasica
226,Jhargram,IN,80.1,overcast clouds,22.45,86.98,Sarada Hotel
233,Cururupu,BR,82.6,few clouds,-1.83,-44.87,Pousada Través'cia
234,Nobres,BR,82.49,few clouds,-14.72,-56.33,Camping e Chale do Josias
238,Middle Island,US,84.99,clear sky,40.88,-72.94,Camp Wilderness
240,Alipur Chatha,PK,86.0,smoke,32.27,73.82,Tahir Buttiparlar
242,Culebra,PR,84.2,mist,18.3,-65.3,Palmetto Guesthouse
251,Wattegama,LK,77.2,broken clouds,6.8,81.48,
252,Itaunja,IN,80.6,mist,27.08,80.92,Shivanand Hotel
255,Bengkulu,ID,75.7,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
258,Spencer,US,89.01,clear sky,43.14,-95.14,Days Inn by Wyndham Hotel Spencer IA
261,Pescara,IT,80.6,clear sky,42.33,13.95,Casa Gavenniae
273,Brigantine,US,84.2,scattered clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
277,Saint Anthony,US,84.0,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
278,Oistins,BB,87.8,few clouds,13.07,-59.53,Butterfly Beach Hotel
279,Nara,JP,75.99,overcast clouds,34.69,135.8,Guesthouse Nara Komachi
281,Negombo,LK,80.6,scattered clouds,7.21,79.84,Hotel Sunset Beach
284,Biltine,TD,83.43,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
291,Ciudad Bolivar,VE,89.85,scattered clouds,8.12,-63.55,Hotel Edi
292,Cockburn Town,TC,84.04,overcast clouds,21.46,-71.14,Osprey Beach Hotel
299,Statesboro,US,82.4,light intensity drizzle,32.45,-81.78,Holiday Inn Statesboro-University Area
300,Maroua,CM,75.51,heavy intensity rain,10.59,14.32,Maroua Palace
309,Sebring,US,89.6,clear sky,27.5,-81.44,La Quinta Inn & Suites by Wyndham Sebring
316,Yenagoa,NG,75.45,overcast clouds,4.92,6.26,Amba Hotels Limited
317,Praia Da Vitoria,PT,75.2,few clouds,38.73,-27.07,Hotel Branco I
319,Banda Aceh,ID,78.76,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
320,Teseney,ER,77.61,moderate rain,15.11,36.66,Sabrin Hotel
325,Jalu,LY,82.22,clear sky,29.03,21.55,Jalu Hotel
326,Makhu,IN,81.73,clear sky,31.1,75.0,Guru Nanak Tent House
329,Kutum,SD,75.63,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
332,Marawi,PH,75.0,scattered clouds,8.0,124.29,Salihmaruhom
334,Kula,TR,77.0,clear sky,38.55,28.65,Anemon Kula Hotel
337,Odweyne,SO,75.58,overcast clouds,9.41,45.06,Eng Hiirey House
343,Tutoia,BR,79.68,light rain,-2.76,-42.27,Pousada Guará's
344,Mogadishu,SO,76.39,light rain,2.04,45.34,Hotel Juba
345,Bhadrak,IN,81.36,overcast clouds,21.06,86.51,Hotel bluevine
346,Kanniyakumari,IN,79.92,overcast clouds,8.08,77.57,New Cape Hotel
347,Veraval,IN,82.18,overcast clouds,20.9,70.37,Lords Inn Somnath
350,Tamandare,BR,76.14,light rain,-8.76,-35.1,Pousada 100 Passos
353,Tortoli,IT,82.4,clear sky,39.93,9.66,Hotel La Bitta
359,Ponnani,IN,78.8,mist,10.77,75.93,Rouba Residency
361,Bubaque,GW,80.64,scattered clouds,11.28,-15.83,Casa Dora
362,Hapur,IN,84.2,haze,28.72,77.78,Manohar Heritage
363,La Asuncion,VE,89.6,broken clouds,11.03,-63.86,Colinas de Matasiete
367,Ibra,OM,80.8,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
371,Amapa,BR,88.66,overcast clouds,1.0,-52.0,
372,Mabaruma,GY,83.1,light rain,8.2,-59.78,
378,Kavaratti,IN,82.51,light rain,10.57,72.64,Bismillah Hotel And Lodging
379,Mirabad,AF,85.82,clear sky,30.44,61.84,
380,Hobyo,SO,76.19,overcast clouds,5.35,48.53,Osmani Hotel
382,Vilhena,BR,82.4,few clouds,-12.74,-60.15,Hotel Mirage
384,Aswan,EG,86.76,clear sky,24.09,32.91,Nuba Nile
386,Saveh,IR,77.25,clear sky,35.02,50.36,مجید کریمی
389,Brewster,US,90.0,clear sky,41.4,-73.62,Heidi's Inn
391,Bartica,GY,89.6,thunderstorm,6.4,-58.62,La Vista Hotel and Apartment
397,Awbari,LY,84.85,clear sky,26.59,12.78,فندق أوباري
399,Maceio,BR,78.8,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
401,Mattawa,US,78.01,clear sky,46.74,-119.9,Sun & Sand Mobile Home Park
402,Chapada Dos Guimaraes,BR,75.2,broken clouds,-15.46,-55.75,Pousada Morro Dos Ventos
410,Samarkand,UZ,75.2,clear sky,39.65,66.96,Ideal Hotel
413,Hit,IQ,87.89,clear sky,33.64,42.83,Aboody Alhachem
419,Marzuq,YE,83.79,scattered clouds,14.4,46.47,
421,Inirida,CO,75.85,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
422,Kanker,IN,75.07,scattered clouds,20.27,81.49,STARiHOTEL Kanker
425,Platanos,GR,80.6,clear sky,37.67,21.62,Hotel Kronio
430,Iroquois Falls,CA,75.2,broken clouds,48.77,-80.68,Auberge MacDonald Guest Inn
