City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
93,Eyl,100,SO,overcast clouds,70,7.98,49.82,77.61,25.81
94,Traverse City,75,US,broken clouds,40,44.76,-85.62,87.8,8.05
95,Taoudenni,17,ML,few clouds,7,22.68,-3.98,108.61,11.88
96,Clyde River,99,CA,overcast clouds,69,70.47,-68.59,50.25,7.2
97,Skibotn,75,NO,broken clouds,93,69.39,20.27,57.2,13.87
98,Bathsheba,20,BB,few clouds,70,13.22,-59.52,87.8,10.29
99,Rio Brilhante,6,BR,clear sky,60,-21.8,-54.55,64.6,6.35
100,Marsh Harbour,16,BS,few clouds,76,26.54,-77.06,85.14,15.55
101,Fruitville,20,US,few clouds,66,27.33,-82.46,87.8,5.82
102,Salalah,90,OM,light intensity drizzle,100,17.02,54.09,77.0,4.7
103,Korla,0,CN,clear sky,25,41.76,86.15,75.72,1.48
104,Bakchar,44,RU,scattered clouds,98,57.02,82.07,52.36,5.57
105,Bambous Virieux,75,MU,broken clouds,88,-20.34,57.76,69.8,12.75
106,Olafsvik,23,IS,few clouds,66,64.89,-23.71,51.91,8.03
107,Vangaindrano,67,MG,light rain,91,-23.35,47.6,65.52,2.26
108,Krasnoselkup,84,RU,broken clouds,68,65.7,82.47,53.1,8.21
109,San Carlos De Bariloche,0,AR,clear sky,28,-41.15,-71.31,57.2,13.87
110,Bloomingdale,1,US,light rain,66,27.89,-82.24,87.8,5.82
111,Luderitz,0,NA,clear sky,25,-26.65,15.16,67.19,8.46
112,Paita,25,PE,scattered clouds,60,-5.09,-81.11,75.2,12.75
113,Balezino,50,RU,scattered clouds,91,57.98,53.01,50.77,4.65
114,Makhachkala,40,RU,scattered clouds,72,42.98,47.5,66.2,6.71
115,Comodoro Rivadavia,40,AR,scattered clouds,32,-45.87,-67.5,68.0,21.92
116,Kidal,0,ML,clear sky,25,18.44,1.41,97.83,14.34
117,Real,100,PH,overcast clouds,88,14.66,121.6,80.6,2.24
118,Sikonge,20,TZ,few clouds,46,-5.63,32.77,73.4,11.41
119,Guane,100,CU,moderate rain,78,22.2,-84.09,82.53,13.71
120,Margate,50,GB,scattered clouds,72,51.38,1.39,66.99,3.0
121,Pedernales,20,DO,few clouds,56,18.04,-71.74,95.0,16.11
122,Key Largo,0,US,light rain,69,25.09,-80.45,87.01,1.99
123,El Alto,55,PE,broken clouds,60,-4.27,-81.21,75.2,12.75
124,Bella Union,0,UY,clear sky,52,-30.28,-57.6,59.77,9.28
125,Sao Filipe,29,CV,scattered clouds,78,14.9,-24.5,79.36,1.97
126,Amarante Do Maranhao,68,BR,broken clouds,27,-5.57,-46.74,93.24,1.97
127,Sompeta,100,IN,overcast clouds,85,18.93,84.6,80.71,11.63
128,Hansi,21,IN,few clouds,72,29.1,75.97,83.62,10.33
129,Port Talbot,77,GB,broken clouds,82,51.59,-3.78,66.0,5.99
130,Anzio,5,IT,clear sky,94,41.49,12.62,79.0,2.24
131,Road Town,40,VG,scattered clouds,79,18.42,-64.62,84.2,20.8
132,Zinder,0,NE,clear sky,43,13.81,8.99,87.06,4.9
133,Boden,41,SE,mist,100,65.83,21.69,60.8,17.22
134,Piacabucu,69,BR,broken clouds,75,-10.41,-36.43,75.31,6.11
135,Nanortalik,12,GL,few clouds,69,60.14,-45.24,48.0,3.11
136,Nieuw Nickerie,7,SR,clear sky,66,5.95,-56.98,85.33,9.08
137,Naifaru,1,MV,clear sky,68,5.44,73.37,83.84,5.84
138,Tabou,60,CI,broken clouds,89,4.42,-7.35,75.74,10.92
139,Lasa,5,IT,clear sky,93,46.62,10.7,61.0,4.7
140,Lixourion,0,GR,clear sky,83,38.2,20.43,80.6,10.29
141,Colonia,40,DE,scattered clouds,60,50.93,6.95,73.0,9.17
142,Malakal,3,SS,clear sky,84,9.53,31.66,74.97,3.29
143,Clearwater,1,US,light rain,74,27.97,-82.8,86.0,4.7
144,Puri,75,IN,haze,88,19.8,85.85,82.4,8.05
145,Pasni,99,PK,overcast clouds,84,25.26,63.47,83.17,8.25
146,San Lazaro,75,BZ,broken clouds,66,18.04,-88.66,91.4,2.15
147,Veshkayma,0,RU,clear sky,94,54.05,47.13,50.32,3.47
148,Ecoporanga,100,BR,overcast clouds,70,-18.37,-40.83,67.86,5.82
149,Meulaboh,95,ID,overcast clouds,88,4.14,96.13,74.61,4.27
150,The Valley,20,AI,few clouds,78,18.22,-63.06,100.4,17.22
151,Victoria,20,HK,few clouds,74,22.29,114.16,82.0,3.22
152,Bangui,20,CF,few clouds,88,4.36,18.55,78.8,1.14
153,Vila Velha,90,BR,light rain,93,-20.33,-40.29,64.4,16.11
154,Chapais,90,CA,overcast clouds,52,49.78,-74.85,66.2,5.82
155,Ponta Do Sol,40,PT,scattered clouds,69,32.67,-17.1,75.2,16.11
156,San Andres,40,CO,scattered clouds,83,12.58,-81.7,84.2,4.7
157,Sakakah,0,SA,clear sky,19,29.97,40.21,86.0,11.41
158,Potsdam,13,DE,few clouds,76,52.4,13.07,72.0,6.62
159,Vila Franca Do Campo,20,PT,few clouds,83,37.72,-25.43,75.2,4.7
160,Aksu,1,CN,clear sky,37,41.12,80.26,75.4,5.82
161,Kolobrzeg,15,PL,few clouds,76,54.18,15.58,66.99,7.23
162,Narsaq,20,GL,few clouds,62,60.92,-46.05,53.6,8.05
163,Concarneau,75,FR,broken clouds,93,47.88,-3.92,62.6,8.05
164,Bristol,20,US,few clouds,43,41.83,-71.17,87.8,6.93
165,Tuni,93,IN,overcast clouds,89,17.35,82.55,78.96,6.22
166,Sorland,100,NO,overcast clouds,91,67.67,12.69,56.91,18.61
167,Pinhao,38,BR,scattered clouds,69,-25.7,-51.66,52.65,6.24
168,Saint Johnsbury,39,US,light rain,60,44.42,-72.02,75.99,3.62
169,Baracoa,44,CU,scattered clouds,72,20.35,-74.5,85.42,10.33
170,Tegh,100,AM,moderate rain,84,39.56,46.48,58.26,2.24
171,Georgetown,40,MY,scattered clouds,88,5.41,100.34,80.6,1.68
172,Sayaxche,81,GT,broken clouds,48,16.52,-90.17,93.13,2.37
173,Gat,0,IL,clear sky,37,31.61,34.76,80.01,0.56
174,Greenwood,75,US,broken clouds,74,34.17,-82.12,82.99,8.05
175,San Joaquin,79,VE,moderate rain,75,10.26,-67.79,79.81,4.9
176,Boyuibe,0,BO,clear sky,24,-20.42,-63.28,68.68,8.79
177,Wicklow,75,IE,broken clouds,82,53.0,-6.42,60.01,17.22
178,Ilam,39,NP,light rain,90,26.92,87.92,65.25,2.93
179,Zdvinsk,66,RU,broken clouds,88,54.7,78.66,54.09,6.29
180,Ferme-Neuve,44,CA,light rain,77,46.7,-75.45,71.82,5.73
181,Inhambane,1,MZ,clear sky,87,-23.86,35.38,60.8,1.12
182,Zhezkazgan,100,KZ,overcast clouds,51,47.8,67.71,60.85,5.1
183,Klaksvik,99,FO,light rain,87,62.23,-6.59,46.4,24.16
184,Roald,75,NO,light intensity drizzle,93,62.58,6.13,59.0,16.11
185,Pimenta Bueno,31,BR,scattered clouds,28,-11.67,-61.19,76.26,6.44
186,Tete,40,MZ,scattered clouds,60,-16.16,33.59,71.6,10.29
187,Pisco,75,PE,broken clouds,82,-13.7,-76.22,64.0,8.05
188,Diamond Harbour,75,IN,haze,94,22.19,88.18,82.4,5.59
189,Balkanabat,73,TM,broken clouds,53,39.51,54.37,78.13,5.28
190,Almeirim,6,BR,clear sky,35,-1.52,-52.58,95.29,4.27
191,Pakpattan,0,PK,clear sky,58,30.34,73.39,88.21,6.49
192,Upata,3,VE,clear sky,63,8.01,-62.4,90.0,3.0
193,Fureidis,8,IL,clear sky,83,32.6,34.96,80.01,5.01
194,Lebu,0,CL,clear sky,75,-37.62,-73.65,53.49,11.25
195,Sinnamary,31,GF,scattered clouds,71,5.38,-52.95,83.48,8.46
196,Redcliffe,0,AU,clear sky,43,-27.23,153.1,54.0,8.05
197,Ullubiyaul,40,RU,scattered clouds,72,42.6,47.72,66.2,6.71
198,Wheatley,2,GB,clear sky,55,51.75,-1.14,64.4,13.87
199,Souillac,75,MU,broken clouds,88,-20.52,57.52,69.8,12.75
200,San Rafael Del Sur,40,NI,scattered clouds,79,11.85,-86.44,84.2,6.93
201,Lobito,3,AO,clear sky,85,-12.35,13.55,69.19,3.74
202,Cotonou,97,BJ,overcast clouds,87,6.37,2.42,75.7,9.66
203,Olinda,75,BR,moderate rain,88,-8.01,-34.86,75.2,11.41
204,Xuddur,100,SO,overcast clouds,62,4.12,43.89,75.2,18.5
205,Rio Grande,0,BR,clear sky,36,-32.03,-52.1,62.6,8.05
206,Omboue,100,GA,overcast clouds,80,-1.57,9.26,74.26,8.21
207,San Francisco,75,US,smoke,53,37.77,-122.42,75.99,10.29
208,Chuy,0,UY,clear sky,57,-33.7,-53.46,55.4,5.37
209,Solwezi,1,ZM,clear sky,51,-12.17,26.39,61.97,6.78
210,Jardim,80,BR,broken clouds,61,-21.48,-56.14,64.65,3.02
211,Tukrah,0,LY,clear sky,74,32.53,20.58,79.32,13.71
212,Luleburgaz,0,TR,clear sky,83,41.4,27.36,71.6,8.05
213,Paamiut,45,GL,scattered clouds,94,61.99,-49.67,43.41,9.98
214,Krasnooktyabrskiy,58,RU,broken clouds,77,44.93,38.37,66.0,2.66
215,Salima,34,MW,scattered clouds,62,-13.78,34.46,68.76,13.42
216,Bagan,100,RU,light rain,83,54.1,77.66,57.27,5.19
217,Santana Do Livramento,0,BR,clear sky,57,-30.89,-55.53,57.13,5.99
218,Isla Mujeres,75,MX,broken clouds,74,21.23,-86.73,86.0,5.82
219,Stephenville,1,US,clear sky,33,32.22,-98.2,91.99,5.82
220,Joshimath,43,IN,light rain,58,30.57,79.57,65.53,0.6
221,Hambantota,98,LK,light rain,83,6.12,81.12,79.56,9.57
222,Riyadh,64,SA,broken clouds,13,24.69,46.72,100.4,6.93
223,Miraflores,20,MX,few clouds,31,19.22,-98.81,75.0,10.29
224,East London,0,ZA,clear sky,39,-33.02,27.91,66.85,4.88
225,Dingle,100,PH,overcast clouds,88,11.0,122.67,77.04,1.7
226,Jhargram,100,IN,overcast clouds,90,22.45,86.98,80.1,2.82
227,Butka,43,RU,scattered clouds,96,56.72,63.79,51.04,5.46
228,Lushoto,93,TZ,overcast clouds,99,-4.78,38.28,54.36,4.18
229,Qasigiannguit,0,GL,clear sky,65,68.82,-51.19,44.6,4.7
230,Mayumba,43,GA,scattered clouds,86,-3.43,10.66,73.22,2.95
231,Nuuk,75,GL,broken clouds,93,64.18,-51.72,42.8,5.82
232,Luanda,75,AO,broken clouds,88,-8.84,13.23,71.6,4.7
233,Cururupu,14,BR,few clouds,72,-1.83,-44.87,82.6,5.08
234,Nobres,15,BR,few clouds,31,-14.72,-56.33,82.49,8.3
235,Constitucion,0,CL,clear sky,76,-35.33,-72.42,57.94,12.75
236,Namibe,4,AO,clear sky,86,-15.2,12.15,63.88,5.26
237,Debre Birhan,1,ET,light rain,91,9.68,39.53,51.87,2.62
238,Middle Island,1,US,clear sky,62,40.88,-72.94,84.99,9.17
239,Tocopilla,21,CL,few clouds,50,-22.09,-70.2,65.75,5.84
240,Alipur Chatha,20,PK,smoke,66,32.27,73.82,86.0,2.98
241,Kruisfontein,0,ZA,clear sky,77,-34.0,24.73,53.01,1.01
242,Culebra,90,PR,mist,83,18.3,-65.3,84.2,20.8
243,Lagoa,55,PT,broken clouds,79,39.05,-27.98,72.72,9.48
244,Vardo,77,NO,broken clouds,77,70.37,31.11,59.56,20.27
245,Tazovskiy,100,RU,overcast clouds,81,67.47,78.7,53.1,9.17
246,Ereymentau,0,KZ,clear sky,68,51.62,73.1,53.83,12.3
247,Santa Maria,0,BR,clear sky,45,-29.68,-53.81,62.6,12.75
248,Kisangani,35,CD,scattered clouds,93,0.52,25.2,72.79,2.53
249,Tacna,0,PE,clear sky,63,-18.01,-70.25,66.2,9.17
250,Camacha,20,PT,few clouds,73,33.08,-16.33,73.4,11.41
251,Wattegama,71,LK,broken clouds,79,6.8,81.48,77.2,6.13
252,Itaunja,75,IN,mist,94,27.08,80.92,80.6,6.93
253,Khor,100,RU,overcast clouds,93,47.89,134.95,57.18,4.52
254,Grand-Lahou,40,CI,scattered clouds,91,5.14,-5.02,74.98,9.8
255,Bengkulu,74,ID,broken clouds,89,-3.8,102.27,75.7,4.29
256,Matagami,20,CA,few clouds,60,49.75,-77.63,71.6,4.21
257,Kumla,0,SE,clear sky,87,59.13,15.14,63.0,11.41
258,Spencer,1,US,clear sky,55,43.14,-95.14,89.01,10.29
259,Opuwo,0,NA,clear sky,29,-18.06,13.84,61.02,5.91
260,Cavadinesti,0,RO,clear sky,56,46.07,28.02,71.08,7.52
261,Pescara,0,IT,clear sky,57,42.33,13.95,80.6,1.12
262,Burgeo,3,CA,clear sky,62,47.62,-57.62,65.52,17.6
263,Boueni,23,YT,few clouds,88,-12.9,45.08,71.6,2.24
264,Vestmannaeyjar,22,IS,few clouds,75,63.44,-20.27,52.7,3.94
265,Plettenberg Bay,0,ZA,clear sky,84,-34.05,23.37,55.96,6.11
266,Dudinka,10,RU,clear sky,67,69.41,86.18,57.2,13.42
267,Brae,99,GB,overcast clouds,93,60.4,-1.35,55.4,6.93
268,Danesti,0,RO,clear sky,84,46.52,25.75,70.0,2.82
269,Merrill,75,US,broken clouds,78,45.18,-89.68,71.6,12.75
270,Angoche,56,MZ,broken clouds,78,-16.23,39.91,71.78,13.44
271,Botwood,82,CA,broken clouds,56,49.15,-55.35,69.01,7.49
272,Corovode,0,AL,clear sky,54,40.5,20.23,73.56,3.38
273,Brigantine,40,US,scattered clouds,62,39.41,-74.36,84.2,6.93
274,Penzance,10,GB,clear sky,77,50.12,-5.54,61.0,19.46
275,Duzce,0,TR,clear sky,69,40.84,31.16,68.34,0.47
276,Maldonado,0,UY,clear sky,44,-34.67,-54.92,59.0,10.29
277,Saint Anthony,75,US,broken clouds,61,45.02,-93.22,84.0,4.7
278,Oistins,20,BB,few clouds,70,13.07,-59.53,87.8,10.29
279,Nara,92,JP,overcast clouds,83,34.69,135.8,75.99,2.75
280,Clarence Town,71,AU,broken clouds,66,-32.58,151.78,50.0,21.92
