City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bluff,NZ,2022-06-11 18:55:48,-46.6,168.3333,38.8,74,100,17.72
68,Murdochville,CA,2022-06-11 18:55:49,48.9583,-65.5006,50.88,47,64,15.73
69,Bredasdorp,ZA,2022-06-11 18:55:49,-34.5322,20.0403,63.88,37,100,2.64
70,Punta Arenas,CL,2022-06-11 18:53:36,-53.15,-70.9167,44.71,87,75,9.22
71,Kosa,RU,2022-06-11 18:55:50,59.9445,54.9977,39.09,96,100,10.38
72,Ponta Do Sol,PT,2022-06-11 18:55:50,32.6667,-17.1,75.7,79,0,1.16
73,Soma,TR,2022-06-11 18:55:51,39.1855,27.6094,65.59,88,100,3.36
74,Umm Lajj,SA,2022-06-11 18:55:51,25.0213,37.2685,89.89,38,0,6.42
75,Kamenka,RU,2022-06-11 18:55:52,51.3223,42.7678,64.54,84,97,7.4
76,Sinnamary,GF,2022-06-11 18:55:52,5.3833,-52.95,82.49,72,13,9.28
77,Nishihara,JP,2022-06-11 18:55:36,26.1842,127.7558,76.28,92,100,8.05
78,Ola,RU,2022-06-11 18:55:53,59.5833,151.2833,37.15,98,100,5.53
79,Lensk,RU,2022-06-11 18:55:54,60.7253,114.9278,43.66,95,12,3.2
80,Long,TH,2022-06-11 18:55:54,18.0761,99.8326,75.25,91,89,2.17
81,Fiche,ET,2022-06-11 18:55:55,9.8,38.7333,59.68,34,11,4.52
82,Busselton,AU,2022-06-11 18:53:14,-33.65,115.3333,61.39,88,18,10.31
83,Mancio Lima,BR,2022-06-11 18:51:59,-7.6142,-72.8958,75.27,69,75,9.22
84,Roald,NO,2022-06-11 18:55:55,62.5833,6.1333,61.16,67,75,10.36
85,Marsabit,KE,2022-06-11 18:55:56,2.3284,37.9899,70.65,52,15,22.55
86,Kuytun,RU,2022-06-11 18:55:56,54.3419,101.5036,53.67,66,22,2.19
87,Fairbanks,US,2022-06-11 18:53:59,64.8378,-147.7164,62.49,61,0,3.44
88,Raga,SS,2022-06-11 18:55:57,8.4596,25.678,73.17,87,99,3.47
89,Tres Arroyos,AR,2022-06-11 18:55:57,-38.3739,-60.2798,57.27,30,100,4.68
90,Iqaluit,CA,2022-06-11 18:55:58,63.7506,-68.5145,51.53,50,75,11.5
91,Damaturu,NG,2022-06-11 18:55:58,11.747,11.9608,93.51,32,5,3.91
92,Coihaique,CL,2022-06-11 18:55:59,-45.5752,-72.0662,38.01,80,0,3.44
93,Sao Filipe,CV,2022-06-11 18:55:59,14.8961,-24.4956,73.49,85,18,5.86
94,Kloulklubed,PW,2022-06-11 18:55:59,7.0419,134.2556,75.7,72,4,7.2
95,Panjab,AF,2022-06-11 18:56:00,34.388,67.0233,55.08,54,98,3.8
96,Timmins,CA,2022-06-11 18:54:26,48.4669,-81.3331,67.82,49,75,5.75
97,Yakima,US,2022-06-11 18:51:08,46.4665,-120.6678,74.55,56,40,4.61
98,Provideniya,RU,2022-06-11 18:56:01,64.3833,-173.3,37.02,71,89,1.5
99,Cabo San Lucas,MX,2022-06-11 18:51:57,22.8909,-109.9124,86.61,68,7,11.77
100,Port Lincoln,AU,2022-06-11 18:56:02,-34.7333,135.8667,52.52,74,21,6.58
101,Albany,US,2022-06-11 18:55:06,42.6001,-73.9662,77.77,49,100,5.1
102,Luderitz,NA,2022-06-11 18:56:03,-26.6481,15.1594,64.98,48,3,7.18
103,Mersing,MY,2022-06-11 18:56:03,2.4312,103.8405,75.11,94,20,4.61
104,Lompoc,US,2022-06-11 18:56:04,34.6391,-120.4579,96.01,63,75,10.36
105,Yuancheng,CN,2022-06-11 18:56:04,36.652,107.7896,61.61,67,89,4.14
106,Athboy,IE,2022-06-11 18:56:05,53.6186,-6.9206,59.29,80,26,15.84
107,Kununurra,AU,2022-06-11 18:56:05,-15.7667,128.7333,66.18,30,80,4.61
108,Sola,VU,2022-06-11 18:56:06,-13.8833,167.55,80.64,75,69,7.7
109,Tamiahua,MX,2022-06-11 18:56:06,21.2667,-97.45,89.98,56,0,14.18
110,Lima,PE,2022-06-11 18:55:53,-12.0432,-77.0282,61.05,77,100,10.36
111,Conceicao Do Almeida,BR,2022-06-11 18:54:12,-12.7794,-39.17,77.0,79,72,6.96
112,Radhanpur,IN,2022-06-11 18:56:07,23.8333,71.6,88.36,57,7,15.3
113,Los Lunas,US,2022-06-11 18:56:08,34.8062,-106.7334,100.72,15,0,1.99
114,Strezhevoy,RU,2022-06-11 18:56:08,60.7333,77.5889,54.34,96,100,5.28
115,Ahipara,NZ,2022-06-11 18:56:08,-35.1667,173.1667,58.73,88,100,19.1
116,Butaritari,KI,2022-06-11 18:56:09,3.0707,172.7902,81.52,77,62,11.61
117,Kapaa,US,2022-06-11 18:56:09,22.0752,-159.319,79.12,80,11,5.01
118,Catuday,PH,2022-06-11 18:56:10,16.2923,119.8062,80.06,80,99,2.24
119,Nanpiao,CN,2022-06-11 18:56:11,41.0982,120.7479,63.3,83,100,4.54
120,Miyako,JP,2022-06-11 18:56:11,39.6367,141.9525,58.71,97,100,4.7
121,Geraldton,AU,2022-06-11 18:52:02,-28.7667,114.6,64.81,94,75,4.61
122,Kodinsk,RU,2022-06-11 18:56:12,58.6881,99.1844,56.73,61,57,5.84
123,Maniitsoq,GL,2022-06-11 18:56:12,65.4167,-52.9,41.94,78,13,10.67
124,Sambava,MG,2022-06-11 18:56:13,-14.2667,50.1667,71.33,83,93,13.82
125,Mount Isa,AU,2022-06-11 18:56:13,-20.7333,139.5,51.57,46,57,11.5
126,Terme,TR,2022-06-11 18:56:14,41.2092,36.9739,68.52,93,100,0.43
127,Shebalino,RU,2022-06-11 18:56:14,51.2917,85.6772,58.19,87,100,4.54
128,Walvis Bay,NA,2022-06-11 18:56:15,-22.9575,14.5053,70.75,37,0,3.44
129,Tautira,PF,2022-06-11 18:56:15,-17.7333,-149.15,78.22,81,51,21.59
130,Airai,TL,2022-06-11 18:55:39,-8.9266,125.4092,56.23,87,99,3.74
131,Mbanza-Ngungu,CD,2022-06-11 18:51:54,-5.25,14.8667,70.47,54,0,1.05
